trade_date,ticker,side,setup,impulse_type,signal_time_ist,entry_time_ist,entry_price,sl_price,target_price,exit_time_ist,exit_price,outcome,pnl_pct,pnl_pct_gross,adx_signal,rsi_signal,stochk_signal,avwap_dist_atr_signal,ema20_gap_atr_signal,atr_pct_signal,quality_score,position_size_rs,pnl_rs
2025-11-18,IGL,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-11-18 10:00:00+05:30,2025-11-18 10:15:00+05:30,209.54999999999998,211.121625,207.03539999999998,2025-11-18 14:30:00+05:30,209.51,EOD,-0.110951681997033,0.019088523025527104,25.79889105554099,35.25179854931602,18.732026143790716,1.0891609087164777,2.071785704745973,0.0041041116045884155,0.4375865248584985,50000,-55.475840998516496
2025-11-18,NATIONALUM,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-11-18 10:15:00+05:30,2025-11-18 10:30:00+05:30,255.528884,257.44535063,252.462537392,2025-11-18 11:30:00+05:30,257.44535063,SL,-0.881040520260113,-0.7500000000000009,32.07446064550106,24.32216905629582,17.734617379000138,1.0926454820783904,3.3423829817312694,0.005652620760534425,0.5323298690462344,50000,-440.52026013005656
2025-11-18,VASCONEQ,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-11-18 10:00:00+05:30,2025-11-18 10:15:00+05:30,55.650000000000006,56.06737500000001,54.982200000000006,2025-11-18 11:00:00+05:30,55.52607999999999,BE,0.09290204131718473,0.22267744833784808,28.766332691377308,4.195804193750234,5.305569583344881,1.4405858327326377,4.417324815486087,0.006364288275367486,0.5435975110988711,50000,46.45102065859236
2025-11-19,COHANCE,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-11-19 10:45:00+05:30,2025-11-19 11:00:00+05:30,575.98478,580.30466585,569.07296264,2025-11-19 11:15:00+05:30,580.30466585,SL,-0.8810405202601217,-0.7499999999999984,26.744087959162584,16.041397153364684,2.595722738048622,2.0118899662525176,4.538746002830284,0.007175048906718193,0.6111613193874388,50000,-440.5202601300609
2025-11-19,DLF,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-11-19 11:00:00+05:30,2025-11-19 11:15:00+05:30,741.6516399999999,747.2140273,732.75182032,2025-11-19 14:30:00+05:30,744.3,EOD,-0.48761896313185665,-0.3570894820646558,44.88297293448956,10.948905108743162,14.859379198755981,1.3190835336548556,3.197947229306308,0.004149297700076089,0.7640842124069431,50000,-243.8094815659283
2025-11-19,FINPIPE,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-11-19 10:30:00+05:30,2025-11-19 10:45:00+05:30,181.2,182.559,179.0256,2025-11-19 13:15:00+05:30,180.27921999999998,BE,0.37875263459545866,0.5081567328918365,43.732164172756676,4.6403712281914125,8.105747256690945,2.2724724920957087,4.815471106764451,0.0031921182266009605,0.8659824625913501,50000,189.37631729772932
2025-11-19,JKTYRE,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-11-19 11:00:00+05:30,2025-11-19 11:15:00+05:30,447.4105,450.76607875,442.041574,2025-11-19 13:30:00+05:30,446.335,BE,0.11063089425005825,0.2403832721851708,60.34789404058583,24.27884615221204,18.93802893802891,1.664065237550552,2.9932698505410036,0.005881226359385237,0.9012114165713465,50000,55.315447125029124
2025-11-19,LICHSGFIN,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-11-19 11:00:00+05:30,2025-11-19 11:15:00+05:30,563.18734,567.4112450499999,556.4290919199999,2025-11-19 14:30:00+05:30,562.45,EOD,0.0010279394086316325,0.13092268728908285,28.939132143040826,26.984126980129048,13.510832260832315,1.2456686992112926,2.1802705074754183,0.002409058058299205,0.5120790045075887,50000,0.5139697043158162
2025-11-19,VAIBHAVGBL,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-11-19 10:00:00+05:30,2025-11-19 10:15:00+05:30,249.99999000000003,251.87498992500005,246.99999012000004,2025-11-19 10:30:00+05:30,251.87498992500005,SL,-0.8810405202601318,-0.7500000000000102,64.39635046766043,10.416666665451771,6.415343915343947,1.4752048724825406,4.897644428428616,0.00609878024395124,0.8681608526844447,50000,-440.5202601300659
2025-11-20,SWARAJENG,SHORT,A_MOD_BREAK_C1_LOW,MODERATE,2025-11-20 11:15:00+05:30,2025-11-20 11:30:00+05:30,3681.3635799999997,3708.97380685,3637.1872170399997,2025-11-20 11:45:00+05:30,3629.7567,BE,1.2735997069836837,1.4018414339829979,30.74755793235187,28.596338273583115,10.443620038330225,1.6660735785245244,3.3825718301665417,0.007259616130583858,0.6127762452270697,50000,636.7998534918419
